Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,RELIANCE.NS,TCS.NS,^NSEI,RELIANCE.NS,TCS.NS,^NSEI,RELIANCE.NS,TCS.NS,^NSEI,RELIANCE.NS,TCS.NS,^NSEI,RELIANCE.NS,TCS.NS,^NSEI
Date,,,,,,,,,,,,,,,
2020-01-01,675.32421875,1866.114013671875,12182.5,683.1529137163456,1880.1467192342836,12222.2001953125,673.490123328754,1854.40551963228,12165.2998046875,679.0819971118469,1866.4582945973923,12202.150390625,14004468,1354908,304100.0
2020-01-02,686.8212280273438,1857.5477294921875,12282.2001953125,689.3487905881979,1876.7461198442331,12289.900390625,676.397899264457,1850.2730610686465,12195.25,676.397899264457,1876.7461198442331,12198.5498046875,17710316,2380752,407700.0
2020-01-03,687.6488037109375,1894.5672607421875,12226.650390625,689.6618949086101,1913.8087417468782,12265.599609375,681.3187290426969,1863.0148974989854,12191.349609375,685.7922517653002,1863.0148974989854,12261.099609375,20984698,4655761,428800.0
2020-01-06,671.70068359375,1894.394775390625,11993.0498046875,683.5107670428088,1916.3480430606007,12179.099609375,670.13493269889,1883.5902820104254,11974.2001953125,679.9767186772816,1898.311969109656,12170.599609375,24519177,3023209,396500.0
2020-01-07,682.0346069335938,1899.0435791015625,12052.9501953125,686.4633961016671,1906.6194395858722,12152.150390625,677.0689495898322,1880.060419869474,12005.349609375,679.5293813804267,1894.437613985228,12079.099609375,16683622,2429317,447800.0
2020-01-08,676.912353515625,1941.572998046875,12025.349609375,686.440941615489,1945.6623325954718,12044.9501953125,675.5032015883575,1895.7724931393373,11929.599609375,677.7399630034671,1898.3121430854048,11939.099609375,16047902,5197454,446000.0
2020-01-09,692.5026245117188,1906.3614501953125,12215.900390625,693.3973052036212,1938.7316302093247,12224.0498046875,685.0094646794911,1902.6163971952303,12132.5498046875,688.2975058097518,1935.976752575916,12153.150390625,14982742,3734173,477500.0
2020-01-10,692.345947265625,1905.672607421875,12256.7998046875,696.9536717580928,1923.2782232479046,12311.2001953125,688.7671054525405,1900.8945017597912,12213.2001953125,694.2471733835102,1918.11274905834,12271.0,12478359,1915807,660600.0
2020-01-13,690.5789794921875,1885.6995849609375,12329.5498046875,697.2892636445985,1910.3215538243012,12337.75,688.2080160085029,1880.8353037248214,12285.7998046875,691.182918802657,1909.3746762816877,12296.7001953125,18282382,2843893,501000.0
2020-01-14,684.181884765625,1899.947998046875,12362.2998046875,693.3973351908096,1919.6630233734707,12374.25,680.8043754201078,1889.7032218289098,12308.7001953125,688.9238120878065,1889.7032218289098,12333.099609375,15816535,2948452,616300.0
2020-01-15,681.698974609375,1917.1658935546875,12343.2998046875,688.8789956511123,1920.6957187518296,12355.150390625,679.19380913835,1889.0140978490783,12278.75,687.067237525864,1905.1992943064988,12349.400390625,15817859,2620681,684400.0
2020-01-16,687.9842529296875,1927.410888671875,12355.5,690.4223472080394,1936.192153869222,12389.0498046875,683.5554644082378,1906.9211297555921,12315.7998046875,684.0028644434916,1917.2089917823173,12347.099609375,12847975,3117214,395700.0
2020-01-17,707.2652587890625,1910.4508056640625,12352.349609375,709.0322829800654,1940.1091960363165,12385.4501953125,694.8288390890643,1905.199155910038,12321.400390625,694.9630411899628,1929.089475194495,12328.400390625,29463471,3281059,502100.0
2020-01-20,685.5015258789062,1868.4810791015625,12224.5498046875,719.7911481994419,1930.3375012406173,12430.5,682.839761284159,1856.299044045964,12216.900390625,719.7911481994419,1889.6163077468248,12430.5,32545850,5817599,491600.0
2020-01-21,686.1949462890625,1869.08447265625,12169.849609375,691.5408127343894,1882.428618887153,12230.0498046875,680.8714169985212,1857.8926080754925,12162.2998046875,683.8239827310947,1868.137384656684,12195.2998046875,18922720,1902980,400.0
2020-01-22,685.9488525390625,1899.947998046875,12106.900390625,691.9433921150559,1902.616911271932,12225.0498046875,684.9423069375898,1871.3657407830688,12087.900390625,690.7131763493682,1877.6504450154225,12218.349609375,10322817,1773686,500.0
2020-01-23,683.0411376953125,1890.49951171875,12180.349609375,689.796156393504,1913.6244029087607,12189.0,680.2899048582964,1884.2437223281115,12094.099609375,687.3580618125278,1906.7646483988144,12123.75,11247739,2069866,867700.0
2020-01-24,680.6702270507812,1883.9849853515625,12248.25,687.2910441549532,1890.4996776970142,12272.150390625,679.3281461239143,1872.4226440719358,12149.650390625,683.1082620966466,1890.4996776970142,12174.5498046875,14628445,1319430,593200.0
2020-01-27,673.9597778320312,1871.7752685546875,12119.0,681.9674086637826,1892.656619299759,12216.599609375,673.2663704558863,1868.1080817890506,12107.0,677.6952189115842,1889.420866271256,12197.099609375,13387750,1549101,441200.0
2020-01-28,658.3919067382812,1884.2867431640625,12055.7998046875,675.5031818296184,1887.7813983745964,12163.5498046875,654.7459935025485,1856.8907023647682,12024.5,674.8768456496997,1875.8737857532556,12148.099609375,24532236,1743024,478500.0
2020-01-29,662.0154418945312,1859.1343994140625,12129.5,668.5243925324733,1887.0480366371958,12169.599609375,654.9472262974796,1855.1651246504061,12103.7998046875,659.4207487202938,1885.365487144715,12114.900390625,24746565,2306761,514400.0
2020-01-30,645.8660278320312,1844.6812744140625,12035.7998046875,661.9483606637074,1868.1080415716815,12150.2998046875,644.1884717288344,1833.593343344029,12010.599609375,661.6352224321117,1863.793704293225,12147.75,22402689,2098567,538100.0
2020-01-31,631.5059814453125,1793.944580078125,11962.099609375,650.1158766250334,1850.2898656281682,12103.5498046875,629.5152871221561,1787.5162598295744,11945.849609375,650.0040116804691,1846.0185033027672,12100.400390625,34750310,3287223,771300.0
2020-02-03,619.8077392578125,1814.1785888671875,11707.900390625,626.2720164126083,1893.7349157687884,11749.849609375,609.7646795449248,1806.1538804441655,11614.5,612.8290505582687,1856.8905223506242,11627.4501953125,30712290,4728073,669800.0
2020-02-04,638.1044311523438,1818.7086181640625,11979.650390625,640.8332667548419,1843.688585281471,11986.150390625,625.310139999637,1800.4590583652694,11783.400390625,626.2942886767648,1837.0445489604028,11786.25,25383901,3509339,560400.0
2020-02-05,647.9909057617188,1852.18798828125,12089.150390625,649.9145288544571,1860.9460077896163,12098.150390625,639.849132797698,1815.731842035042,11953.349609375,641.9068982608502,1824.9644807273298,12005.849609375,18472100,2439322,758000.0
2020-02-06,652.1513671875,1836.4837646484375,12137.9501953125,656.267018049872,1876.0461053017345,12160.599609375,644.2332634474068,1825.395835202132,12084.650390625,650.496207815146,1850.85042141743,12120.0,15538577,2640065,565100.0
2020-02-07,641.3478393554688,1843.5594482421875,12098.349609375,649.7133433335028,1856.027840463638,12154.7001953125,638.9544787429636,1828.416082725453,12073.9501953125,649.1094039600182,1845.6734313118186,12151.150390625,12209212,2083442,473500.0
2020-02-10,642.22021484375,1865.47607421875,12031.5,646.6490042608419,1869.833596582946,12103.5498046875,630.969275278225,1828.4159626946296,11990.75,638.8203083482963,1847.3126738917822,12102.349609375,15142476,2383032,524700.0
2020-02-11,649.8922729492188,1858.0989990234375,12107.900390625,655.9091502920886,1876.5644919949443,12172.2998046875,646.4476326193693,1853.0945354899127,12099.0,647.4989123607826,1866.3826122186413,12108.400390625,13999816,1335820,480000.0
2020-02-12,657.7432861328125,1873.0697021484375,12201.2001953125,659.7787743619559,1885.3655645257795,12231.75,650.8987994375913,1855.165200791957,12144.2998046875,651.4132707150139,1856.114439345142,12151.0,13533565,1620407,411700.0
2020-02-13,659.4655151367188,1891.362060546875,12174.650390625,661.0760000110254,1895.719582830775,12225.650390625,654.2985851368666,1873.285031554671,12139.7998046875,661.0760000110254,1874.9675807681836,12219.5498046875,13565659,1645948,501200.0
2020-02-14,665.4825439453125,1884.675048828125,12113.4501953125,671.6783575404241,1908.662806155223,12246.7001953125,650.0488229864293,1873.2852405800134,12091.2001953125,660.8524216851458,1887.9539872819296,12190.150390625,21227841,1500115,622800.0
2020-02-17,661.2998046875,1901.1121826171875,12045.7998046875,673.7809604834371,1912.9766067683215,12159.599609375,659.5327802045254,1889.8517233815594,12037.0,666.1088634101769,1895.6760770557526,12131.7998046875,13149130,1774724,0.0
2020-02-18,656.4459228515625,1911.8983154296875,11992.5,660.248435272722,1916.4283689808578,12030.75,651.9723999060855,1886.2711974724034,11908.0498046875,660.248435272722,1898.2649692768277,12028.25,11127161,2486223,676900.0
2020-02-19,672.7296142578125,1895.1591796875,12125.900390625,673.9150960904617,1924.1945877448936,12134.7001953125,659.8905874009041,1890.1113203834932,12042.099609375,661.7918138192991,1911.8987254689455,12090.599609375,14084409,1760463,513600.0
2020-02-20,664.7443237304688,1861.0322265625,12080.849609375,674.6084467350322,1910.7332564266733,12152.0,663.7825121618259,1856.2432709364334,12071.4501953125,669.687583672214,1902.1909544587413,12119.0,16892268,2317278,502600.0
2020-02-24,646.40283203125,1825.2669677734375,11829.400390625,660.7404777544862,1880.1452179060848,12012.5498046875,643.9871345353313,1817.8030370218212,11813.400390625,657.4971707893623,1860.3424496397588,12012.5498046875,21370214,3092877,490800.0
2020-02-25,633.6309204101562,1860.4715576171875,11797.900390625,649.2882495489266,1878.160340242966,11883.0498046875,630.7678229370605,1821.5131767326154,11779.900390625,649.2882495489266,1825.3960802358351,11877.5,27745062,2674567,461000.0
2020-02-26,622.7155151367188,1832.3851318359375,11678.5,631.8191601622372,1867.1585164325793,11783.25,620.6353526146177,1823.1954684471564,11639.599609375,630.7678804610105,1858.6162141971745,11738.5498046875,29362748,2686842,567600.0
2020-02-27,620.1432495117188,1816.767333984375,11633.2998046875,623.5207586374837,1829.2357259419773,11663.849609375,612.4263599498594,1800.1139508187418,11536.7001953125,620.9260652375485,1829.2357259419773,11661.25,25054993,2349001,608600.0
2020-02-28,594.3756713867188,1725.8641357421875,11201.75,607.0581581658521,1785.7039648637196,11384.7998046875,592.7428492925397,1717.1060111518734,11175.0498046875,606.1186837322065,1784.4096638502886,11382.0,39315769,4298076,809900.0
2020-03-02,588.7838134765625,1726.8564453125,11132.75,612.426378055896,1772.2863263843647,11433.0,582.0511321802886,1713.3956305781107,11036.25,606.2081680239584,1755.935032464859,11387.349609375,29500495,2667076,680800.0
2020-03-03,600.7280883789062,1756.9705810546875,11303.2998046875,605.6713484615526,1777.5068675793063,11342.25,591.4007735026032,1736.0892318298856,11152.5498046875,594.8454135797672,1742.9921711214558,11217.5498046875,27398798,2757585,696500.0
2020-03-04,599.3189697265625,1797.5250244140625,11251.0,605.6266480626504,1807.2322810378362,11356.599609375,585.0931280116588,1747.3061922792635,11082.150390625,604.821435403794,1774.0550771981066,11351.349609375,22105261,3237002,797700.0
2020-03-05,586.5469970703125,1833.636474609375,11269.0,607.4831207123542,1853.2235231419756,11389.5,584.2431048990697,1798.2589099725126,11244.599609375,604.9108243565992,1799.6825569678913,11306.0498046875,30510390,3937056,1352500.0
2020-03-06,568.5857543945312,1826.215576171875,10989.4501953125,576.2579099445863,1832.4281790120579,11035.099609375,555.2099199542964,1787.5161015946896,10827.400390625,568.1384140570675,1810.2957155623517,10942.650390625,33734039,2595027,1811000.0
2020-03-09,498.41845703125,1701.87646484375,10451.4501953125,555.1651920392663,1794.6777888534073,10751.5498046875,489.85165057435484,1669.6483890970449,10294.4501953125,554.7401888514859,1790.4498229335236,10742.0498046875,88187018,4940975,1565500.0
2020-03-11,516.044189453125,1685.7841796875,10458.400390625,527.183262933386,1714.7766117295266,10545.099609375,495.6672390040311,1656.7055872927408,10334.0,495.6672390040311,1667.922864706702,10334.2998046875,59578576,6796449,1218500.0
2020-03-12,475.5363464355469,1527.146240234375,9590.150390625,492.5357574215292,1646.6965914341208,10040.75,469.13920029845366,1517.2232625781016,9508.0,485.3781326945414,1642.8999528299641,10039.9501953125,55970485,8728786,1343500.0
2020-03-13,494.45941162109375,1558.597412109375,9955.2001953125,509.98254070964157,1570.4186532461188,10159.400390625,421.5856040161474,1299.52147769336,8555.150390625,446.45841570533105,1456.4338918430894,9107.599609375,73297403,8029720,1388000.0
2020-03-16,454.37652587890625,1463.7686767578125,9197.400390625,483.0071128058158,1589.6179002287488,9602.2001953125,449.5898351157526,1446.036704730258,9165.099609375,474.44030673011787,1514.332699091575,9587.7998046875,38482258,7844271,897700.0
2020-03-17,450.9319152832031,1430.6343994140625,8967.0498046875,474.19426900063905,1493.6237306307253,9403.7998046875,448.78462201274766,1400.5634863308403,8915.599609375,468.49050072051966,1492.760863079812,9285.400390625,45445979,5713248,935600.0
2020-03-18,433.2615051269531,1427.5277099609375,8468.7998046875,463.41311163950786,1478.566332815072,9127.5498046875,429.9063628131876,1404.532274902428,8407.0498046875,458.6711544738802,1446.8559589230956,9088.4501953125,44730415,7258778,1516600.0
2020-03-19,410.5359191894531,1422.26904296875,8263.4501953125,432.59042415452996,1464.945350805278,8575.4501953125,399.12841250234374,1344.3912824481113,7832.5498046875,411.6095658236809,1355.6470131502917,8063.2998046875,61404010,5135111,925700.0
2020-03-20,455.383056640625,1562.2928466796875,8745.4501953125,462.9656838974673,1624.4821328909024,8883.0,416.03834178354435,1414.1425522811655,8178.2001953125,420.28819415883976,1416.7500677432697,8284.4501953125,63360475,8547498,1071500.0
2020-03-23,395.48248291015625,1451.2559814453125,7610.25,424.9854120443488,1521.0505131456798,8159.25,391.7247049147837,1406.1025529379563,7583.60009765625,409.86486186475844,1408.0581893120006,7945.7001953125,40670949,7003490,653500.0
2020-03-24,422.03289794921875,1480.3299560546875,7801.0498046875,433.93247910305325,1538.4340690234983,8036.9501953125,400.7389011910396,1419.2271367489232,7511.10009765625,416.0383584084689,1436.7844705752232,7848.2998046875,45734887,6350865,738400.0
2020-03-25,484.1478576660156,1521.3115234375,8317.849609375,515.1494078462537,1573.2010401676387,8376.75,430.912866475202,1460.2087002660955,7714.75,431.15890365113535,1477.592137174025,7735.14990234375,73130298,2765520,736900.0
2020-03-26,476.9678649902344,1556.6431884765625,8641.4501953125,499.6486775382283,1592.3662342380926,8749.0498046875,466.2984990986507,1497.1919224005946,8304.900390625,490.20952746231364,1591.9750432691276,8451.0,45744488,4556067,865600.0
2020-03-27,476.6994323730469,1585.8043212890625,8660.25,495.3540612398386,1607.9682073909376,9038.900390625,468.02079126607595,1521.3986970130452,8522.900390625,489.8516259919914,1581.8930472710845,8949.099609375,41657940,4331250,801500.0
2020-03-30,460.9749755859375,1545.822021484375,8281.099609375,480.81508630927294,1655.7722524193052,8576.0,456.30014975804846,1532.8279457230028,8244.0,465.51562917935905,1534.957374158789,8385.9501953125,30229866,8513547,593300.0
2020-03-31,498.239501953125,1587.19482421875,8597.75,505.4194933506304,1612.3139139635912,8678.2998046875,468.8260394087323,1547.1260198680284,8358.0,480.43484934010263,1597.0165093691835,8529.349609375,44292810,3927593,712700.0
2020-04-01,483.3426818847656,1485.1973876953125,8253.7998046875,503.09329603601816,1594.7130399847692,8588.099609375,467.5734864710347,1479.3304777512344,8198.349609375,502.04201634176945,1587.020890389216,8584.099609375,41597459,4941878,506300.0
2020-04-03,482.00054931640625,1437.7840576171875,8083.7998046875,507.49969331385716,1512.3590461247509,8356.5498046875,472.5390330846229,1434.1335782217463,8055.7998046875,507.49969331385716,1512.3590461247509,8356.5498046875,41367807,5735369,697000.0
2020-04-07,539.5526123046875,1542.9539794921875,8792.2001953125,543.086660841312,1552.2106818374748,8819.400390625,492.08842686836795,1481.9381519797437,8360.9501953125,493.0278714782651,1486.2840116629686,8446.2998046875,54373624,5427577,814200.0
2020-04-08,533.3119506835938,1482.3292236328125,8748.75,549.7969487728319,1569.7245035196363,9131.7001953125,518.929571501776,1478.4614509894247,8653.900390625,527.8766166035285,1529.7425947921151,8688.900390625,49880330,6285615,896500.0
2020-04-09,545.7484130859375,1535.0880126953125,9111.900390625,551.4968858405396,1546.0830587389082,9128.349609375,533.6922622821191,1504.7103903329628,8904.5498046875,543.0866484415843,1521.4419498471034,8973.0498046875,33032857,5307397,742100.0
2020-04-13,531.969970703125,1529.0904541015625,8993.849609375,543.534047096568,1553.2099709987167,9112.0498046875,527.8766572382242,1517.573928015534,8912.400390625,538.590786977077,1530.6115047166984,9103.9501953125,23673784,2990438,644000.0
2020-04-15,514.3889770507812,1508.143310546875,8925.2998046875,552.928454098454,1574.939135095107,9261.2001953125,511.32460598764607,1501.7549197122798,8874.099609375,535.5040393591676,1551.4714989761403,9196.400390625,35321842,4761399,879100.0
2020-04-16,522.53076171875,1491.5423583984375,8992.7998046875,531.2094028193618,1534.0013809909965,9053.75,512.2192985890305,1455.9063134380372,8821.900390625,514.3889290016788,1486.2403253657312,8851.25,37455706,6245533,719400.0
2020-04-17,547.5601196289062,1569.89794921875,9266.75,550.2442808995188,1609.6625561938297,9324.0,533.535612903734,1523.658055241853,9091.349609375,543.9813374764348,1564.5091268883828,9323.4501953125,33269335,9895823,684200.0
2020-04-20,556.4177856445312,1580.719482421875,9261.849609375,562.3227974116861,1590.5845621749102,9390.849609375,537.7184224485133,1566.6823351476917,9230.7998046875,548.4548889228998,1590.5845621749102,9390.2001953125,36030932,3244282,726400.0
2020-04-21,553.5324096679688,1510.3165283203125,8981.4501953125,560.0860954670951,1559.8158241125827,9044.400390625,520.719067459836,1501.6682045125647,8909.400390625,541.2972622124873,1534.0883578580394,9016.9501953125,61371628,5122541,655100.0
2020-04-22,610.0106201171875,1537.999755859375,9187.2998046875,619.5392672425052,1555.817780722397,9209.75,581.5590002828025,1494.2369696719225,8946.25,590.506045286382,1510.316650645869,9026.75,142683366,3829836,734400.0
2020-04-23,613.2762451171875,1632.5223388671875,9313.900390625,619.9641908591138,1651.4268302130474,9343.599609375,605.4028178561236,1530.4815229803191,9170.150390625,611.688157375041,1547.1261883048548,9232.349609375,65464502,5934366,666700.0
2020-04-24,633.8993530273438,1580.63232421875,9154.400390625,668.7705176942633,1609.662575711856,9296.900390625,602.6741016877038,1571.2887279309816,9141.2998046875,603.9937855419026,1599.884393550238,9163.900390625,134986308,2987102,659400.0
2020-04-27,639.6030883789062,1596.32080078125,9282.2998046875,659.8458058753123,1629.6970169075296,9377.099609375,636.5834515375906,1586.2384297899953,9250.349609375,641.5043146604703,1592.583425949182,9259.7001953125,58482901,3374741,512800.0
2020-04-28,638.8873291015625,1615.8341064453125,9380.900390625,651.1000185601599,1623.6131527187852,9404.400390625,622.7825996528488,1592.844445414054,9260.0,648.6619839341811,1621.005636948894,9389.7998046875,78453401,2678505,614500.0
2020-04-29,638.3504028320312,1656.3375244140625,9553.349609375,650.2947467333179,1662.3348320046307,9599.849609375,635.2412982789344,1608.0115858945749,9392.349609375,646.3804296711473,1628.8282113639123,9408.599609375,37494672,4241510,653000.0
2020-04-30,655.8197021484375,1750.903076171875,9859.900390625,668.7705945819996,1766.157083580823,9889.0498046875,643.3162098274911,1688.1054141203424,9731.5,650.4291011653437,1720.9601503395816,9753.5,71345899,5915544,931200.0
2020-05-04,642.0411987304688,1677.892822265625,9293.5,655.3722993617022,1708.7919252046543,9533.5,634.100638844068,1663.2907982637025,9266.9501953125,644.1884921115068,1708.7919252046543,9533.5,53456868,3729348,687500.0
2020-05-05,653.42626953125,1679.8922119140625,9205.599609375,661.6352335022636,1718.3530735760453,9450.900390625,647.409392668105,1674.8944728280421,9190.75,650.3172243173109,1699.3181852284,9429.400390625,44903763,2905528,725200.0
2020-05-06,653.4710693359375,1654.5555419921875,9270.900390625,664.2970042488814,1698.1010312349426,9346.900390625,646.6489200756587,1645.8638233369438,9116.5,654.9249553114857,1686.0196271842187,9226.7998046875,40489094,3517431,722200.0
2020-05-07,674.1387329101562,1644.1693115234375,9199.0498046875,677.1360326646604,1681.3698111943231,9277.849609375,646.4252520396666,1636.955141147722,9175.900390625,650.8987749292127,1660.1185972455403,9234.0498046875,50026966,3166754,708700.0
2020-05-08,698.6760864257812,1645.6900634765625,9251.5,706.7731256998821,1685.7588660381168,9382.650390625,687.6264217526766,1639.4754632969311,9238.2001953125,691.1605298647231,1685.411176065115,9376.9501953125,84262770,2686530,609100.0
2020-05-11,705.3863525390625,1682.1080322265625,9239.2001953125,722.475230772329,1696.1016753663723,9439.900390625,703.3732613494101,1659.2487740931647,9219.9501953125,706.817841580586,1659.2487740931647,9348.150390625,67085063,2449841,704600.0
2020-05-12,661.7470092773438,1694.4508056640625,9196.5498046875,701.6062261496023,1700.535009634131,9240.849609375,655.3722604271993,1660.335804831893,9043.9501953125,700.0180784316636,1680.4571577529246,9168.849609375,100683202,3256595,805500.0
2020-05-13,675.7871704101562,1694.5810546875,9383.5498046875,689.5833490177412,1733.1288081112816,9584.5,656.6169951579172,1673.720928611938,9351.099609375,689.5833490177412,1733.1288081112816,9584.2001953125,66430125,2656665,846400.0
2020-05-14,648.4657592773438,1653.468994140625,9142.75,675.9000855316069,1671.504309444714,9281.099609375,645.8013667337839,1643.6908111444325,9119.75,663.3909205122524,1660.1181797980512,9213.9501953125,49266771,2263146,602600.0
2020-05-15,659.0556640625,1645.2554931640625,9136.849609375,662.3523056062347,1666.5502044867046,9182.400390625,639.0500542508714,1621.1793681310655,9050.0,652.101104371265,1665.3333426196796,9182.400390625,62152260,3173682,575900.0
2020-05-18,650.6333618164062,1691.0606689453125,8823.25,669.2615916574534,1697.449060591619,9158.2998046875,644.8755724678133,1627.1765402820972,8806.75,663.8425028264256,1657.5106579694077,9158.2998046875,62796089,3727694,773000.0
2020-05-19,636.2501831054688,1693.7120361328125,8879.099609375,660.0943806330317,1709.1832340463807,9030.349609375,633.6987303989603,1654.03431318043,8855.2998046875,657.9718729953,1654.03431318043,8961.7001953125,42315854,3198693,762200.0
2020-05-20,647.44970703125,1698.0142822265625,9066.5498046875,653.3881649537279,1706.0976237155612,9093.7998046875,629.0698124523583,1678.979395504149,8875.349609375,636.7469251931129,1694.8852844598855,8889.150390625,55320985,2778505,622300.0
2020-05-21,650.8591918945312,1730.69482421875,9106.25,659.9813507786306,1736.6052348253515,9178.5498046875,643.5207801115246,1687.1928398292391,9056.099609375,648.0367074472184,1691.4083017868538,9079.4501953125,39167981,3400908,631500.0
2020-05-22,646.4788208007812,1756.031494140625,9039.25,658.4234659784153,1766.157368383115,9149.599609375,644.1982807272651,1704.663454105012,8968.5498046875,655.6236168765307,1718.4398080271558,9067.900390625,37828973,3663418,675800.0
2020-05-26,643.0919189453125,1688.801025390625,9029.0498046875,654.6752882868365,1759.2039502782425,9161.650390625,639.5920326713002,1673.1559309711545,8996.650390625,653.975311032034,1751.381403068507,9099.75,33216635,4575317,655000.0
2020-05-27,652.8010864257812,1742.9503173828125,9314.9501953125,656.61703698639,1747.0353825537281,9334.0,637.6501047337907,1687.2798190957337,9004.25,646.2303793438942,1702.7076191157978,9082.2001953125,35667956,3482160,763500.0
2020-05-28,664.858642578125,1742.081298828125,9490.099609375,668.2455885276171,1750.512223901419,9511.25,654.3591041621977,1713.398625844636,9336.5,657.0686489767882,1728.3483402323593,9364.9501953125,40126278,3475681,837900.0
2020-05-29,661.3136596679688,1714.3111572265625,9580.2998046875,664.7457577060809,1740.647107952109,9598.849609375,656.007450356248,1705.6629393550168,9376.900390625,662.9393746004914,1722.6986871909753,9422.2001953125,40022527,7237735,967000.0
2020-06-01,686.580322265625,1777.6737060546875,9826.150390625,694.7090163146383,1790.4939906968127,9931.599609375,666.5295595380629,1721.916311289429,9706.9501953125,668.3585186853417,1729.651961886727,9726.849609375,39943702,3747773,794200.0
2020-06-02,693.51220703125,1779.3251953125,9979.099609375,695.4541060723005,1808.7466415682577,9995.599609375,686.7834677262479,1773.1540963234172,9824.0498046875,689.1317954741431,1790.6678244311472,9880.849609375,22153960,2443886,770200.0
2020-06-03,696.1992797851562,1783.683837890625,10061.5498046875,704.4860062831307,1799.0262085014485,10176.2001953125,692.4509975159605,1760.8881604714359,10035.5498046875,697.7121144364211,1788.6527445668567,10108.2998046875,25381289,3699799,794700.0
2020-06-04,713.4275512695312,1823.26025390625,10029.099609375,717.8080227909754,1830.6263028935837,10123.849609375,695.9057249087699,1784.2068502130678,9944.25,697.2604674305974,1784.2068502130678,10054.25,34202350,4048593,775100.0
2020-06-05,714.2855224609375,1785.514404296875,10142.150390625,730.6783659768879,1828.8828122616105,10177.7998046875,710.6727564801458,1778.584218855235,10040.75,720.291708575871,1823.3038459143097,10093.7998046875,33076685,3573289,987100.0
2020-06-08,708.7760620117188,1806.0,10167.4501953125,730.8590266524802,1826.2676481235671,10328.5,706.7439184964705,1797.587921499789,10120.25,730.8590266524802,1811.6662242065888,10326.75,31414953,2957841,936500.0
2020-06-09,694.1670532226562,1806.261474609375,10046.650390625,714.8726404733965,1826.7034245551226,10291.150390625,692.29294201313,1795.9750562823629,10021.4501953125,704.6214390965813,1798.4595626765354,10181.150390625,25857161,2909439,754200.0
2020-06-10,709.9728393554688,1838.25390625,10116.150390625,713.3146329578219,1858.5215545346769,10148.75,695.4766830422209,1807.525536270006,10036.849609375,696.8540015463917,1810.6202090029894,10072.599609375,22132647,5168397,632400.0
2020-06-11,694.4153442382812,1802.4259033203125,9902.0,708.076005683791,1834.9849857021306,10112.0498046875,691.3896754956393,1797.3264290354057,9885.0498046875,707.1954202131728,1830.6263515318167,10094.099609375,20385805,2269513,715500.0
2020-06-12,717.4918823242188,1777.886962890625,9972.900390625,719.3885695925972,1786.342671019653,9996.0498046875,676.0355556331963,1753.042746934566,9544.349609375,677.3903578499011,1753.2170497449072,9544.9501953125,38548899,2842642,796300.0
2020-06-15,729.1204223632812,1769.5184326171875,9813.7001953125,734.7201801016447,1794.8856637954277,9943.349609375,704.9827364804711,1744.281875342671,9726.349609375,706.7439674657269,1777.5382774282689,9919.349609375,53107403,2399022,716100.0
2020-06-16,730.5429077148438,1783.378662109375,9914.0,744.474543171046,1807.917685465574,10046.150390625,715.9112353938917,1770.4770633957696,9728.5,741.9682427707079,1800.1157734673875,10014.7998046875,51187003,2146528,899900.0
2020-06-17,729.481689453125,1785.1220703125,9881.150390625,738.5586972066078,1794.7546934059535,10003.599609375,723.4980791176175,1766.5978769881328,9833.7998046875,726.2753520321108,1783.5529196073005,9876.7001953125,41782053,2703527,685400.0
2020-06-18,747.7937622070312,1776.666259765625,10091.650390625,751.9032611106536,1795.0596728240969,10111.2001953125,725.0786081018418,1765.420963459673,9845.0498046875,725.7108570793259,1782.6811955955022,9863.25,40471557,1944389,622900.0
2020-06-19,794.5338134765625,1782.33251953125,10244.400390625,807.810625482609,1821.9089358801286,10272.400390625,750.5486065093829,1771.3487835925462,10072.650390625,754.1613131856782,1780.0660512283362,10119.0,105804173,5681758,892100.0
2020-06-22,788.5501098632812,1767.818359375,10311.2001953125,814.7650899304879,1789.0013636336823,10393.650390625,783.5148135515716,1760.1472272178053,10277.599609375,800.8560305108304,1787.039978291655,10318.75,60198705,3196138,685400.0
